cc_num,first,last,trans_num,trans_date,trans_time,unix_time,category,merchant,amt,merch_lat,merch_long,is_fraud
4641000000000000.0,Tiffany,Russell,e32b698a8d1a86f6579fd7d5d2126d7d,2016-07-24T00:00:00.000+05:30,03:31:19,1469331079,shopping_pos,"Watsica, Haag and Considine",224,42.160663,-92.167903,0
4361650000000000.0,Kimberly,Hudson,c2cb54fe50ec73cbc67b22c51823b835,2016-07-24T00:00:00.000+05:30,04:02:52,1469332972,personal_care,Kub PLC,97,41.686311,-74.684554,0
675985000000.0,Rebecca,Brown,9aafaf64dab6c891e4715d3a60af047b,2016-07-24T00:00:00.000+05:30,05:28:18,1469338098,health_fitness,"Runte, Green and Emard",171,44.771719,-75.124465,0
6011780000000000.0,Jennifer,Harvey,483a64b31a17bcf2043ad12f4338b36f,2016-07-24T00:00:00.000+05:30,05:49:45,1469339385,personal_care,Nader-Maggio,185,36.704215,-89.755093,0
4170240000000000.0,Rebecca,Trujillo,d9797b48bfb4e607ed812c6cdb317c97,2016-07-24T00:00:00.000+05:30,06:00:09,1469340009,misc_net,"Stehr, Jewess and Schimmel",116,45.939382,-106.648739,0
6011780000000000.0,Jennifer,Harvey,6c4e746baba84a5513ac62addf612500,2016-07-24T00:00:00.000+05:30,06:23:37,1469341417,shopping_pos,"Nitzsche, Kessler and Wolff",131,36.690018,-89.767324,0
4170240000000000.0,Rebecca,Trujillo,050dc316703ab7e71dc821a646351f89,2016-07-24T00:00:00.000+05:30,06:39:13,1469342353,health_fitness,"Haley, Batz and Auer",127,45.925877,-106.651502,0
675985000000.0,Rebecca,Brown,7494e2e9776e33e2f2fb2103f5988c5c,2016-07-24T00:00:00.000+05:30,07:55:34,1469346934,shopping_pos,Denesik and Sons,55,44.772386,-75.149959,0
4361650000000000.0,Kimberly,Hudson,6498089a4175fbaa5d5f1372e2ecc12c,2016-07-24T00:00:00.000+05:30,09:37:31,1469353051,personal_care,Bartoletti and Sons,49,41.679771,-74.684836,0
5157600000000000.0,Stephanie,Martin,c4076dfd7140ba7e10cb0177b38b34c6,2016-07-24T00:00:00.000+05:30,09:56:07,1469354167,health_fitness,Ziemann-Waters,70,27.429464,-98.844596,0
675985000000.0,Rebecca,Brown,85f80885a1161370ec31a3b5de406ca6,2016-07-24T00:00:00.000+05:30,10:01:39,1469354499,health_fitness,Shields-Wunsch,86,44.783354,-75.146516,0
5157600000000000.0,Stephanie,Martin,a8b83223bd32a7f07582c33030df83f4,2016-07-24T00:00:00.000+05:30,10:32:01,1469356321,shopping_pos,"Watsica, Haag and Considine",113,27.415542,-98.825092,0
675985000000.0,Rebecca,Brown,e7b1a6c7fabcaff8bd8a469f6778b602,2016-07-24T00:00:00.000+05:30,10:57:24,1469357844,grocery_net,Spinka-Welch,63,44.753636,-75.127634,0
4641000000000000.0,Tiffany,Russell,8ab6fefeb4499a20fb49f53a51915b82,2016-07-24T00:00:00.000+05:30,10:58:52,1469357932,personal_care,Parker-Kunde,64,42.166986,-92.167908,0
4641000000000000.0,Tiffany,Russell,db5f4b6cc48a2a769dc1a1988d9c9a48,2016-07-24T00:00:00.000+05:30,12:02:18,1469361738,food_dining,Kilback LLC,80,42.174713,-92.165643,0
5157600000000000.0,Stephanie,Martin,d3f6314197c20777729a9243b44191d0,2016-07-24T00:00:00.000+05:30,12:09:07,1469362147,kids_pets,Bernier and Sons,49,27.440381,-98.832121,0
5157600000000000.0,Stephanie,Martin,421003d92147198bb5b3e0610ae9a3ad,2016-07-24T00:00:00.000+05:30,12:15:44,1469362544,home,Padberg-Sauer,73,27.444966,-98.84057,0
